titulo,autor,ano de publicacao,num de pgs
1984,George Orwell,1949,328
Dom Casmurro,Machado de Assis,1899,304
O Grande Gatsby,F. Scott Fitzgerald,1925,218
Cem Anos de Solidão,Gabriel García Márquez,1967,448
O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,423
